url,name,university,university_url,modality,price,location,credits,years
https://www.gradomania.com/grado-en-ingenieria-informatica-lleida-90842_q08.html,Título Oficial de Grado en Ingeniería Informática,Escuela Politécnica Superior - Universitat de Lleida,https://www.gradomania.com/escuela-politecnica-superior-universitat-de-lleida-1683_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-de-ingenieria-informatica-online-300205_q08.html,Grado de Ingeniería Informática,Estudios Oficiales UOC - Universitat Oberta de Catalunya UOC,https://www.gradomania.com/estudios-oficiales-uoc-universitat-oberta-de-catalunya-uoc-2693_q04.html,Online,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-informatica-y-servicios-barcelona-64744_q08.html,Grado de Informática y Servicios,Facultad de Informatica Tomas Cerda - Escola Universitària d`Informática Tomàs Cerdà,https://www.gradomania.com/facultad-de-informatica-tomas-cerda-escola-universitaria-dinformatica-tomas-cerda-1870_q04.html,Presencial,3.978 €,,240,4.0
https://www.gradomania.com/grado-de-ingenieria-informatica-tarragona-83752_q08.html,Título Oficial de Grado de Ingeniería Informática.,Escola Tècnica Superior d’Enginyeria - Universitat Rovira i Virgili - URV,https://www.gradomania.com/escola-tecnica-superior-denginyeria-universitat-rovira-i-virgili-urv-1790_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-de-sistemas-audiovisuales-ingenieria-multimedia-barcelona-204316_q08.html,Título Oficial de Grado en Ingeniería de Sistemas Audiovisuales + Ingeniería Multimedia,Escola Tècnica Superior (ETS) d´Enginyeria Electrònica i Informàtica (EEI) La Salle - Universidad Ramón Llull,https://www.gradomania.com/escola-tecnica-superior-ets-denginyeria-electronica-i-informatica-eei-la-salle-universidad-ramon-llull-1603_q04.html,Presencial,Información no disponible,,318,5.3
https://www.gradomania.com/grado-en-ingenieria-informatica-ingenieria-multimedia-barcelona-204319_q08.html,Título Oficial de Grado en Ingeniería Informática + Ingeniería Multimedia,Escola Tècnica Superior (ETS) d´Enginyeria Electrònica i Informàtica (EEI) La Salle - Universidad Ramón Llull,https://www.gradomania.com/escola-tecnica-superior-ets-denginyeria-electronica-i-informatica-eei-la-salle-universidad-ramon-llull-1603_q04.html,Presencial,Información no disponible,,329,5.483333333333333
https://www.gradomania.com/doble-grado-en-ingenieria-informatica-y-en-matematicas-madrid-80136_q08.html,Título Oficial de Doble Grado en Ingeniería Informática y en Matemáticas.,Escuela Politécnica Superior - Universidad Autónoma de Madrid - UAM,https://www.gradomania.com/escuela-politecnica-superior-universidad-autonoma-de-madrid-uam-2059_q04.html,Presencial,Información no disponible,,360,6.0
https://www.gradomania.com/grado-en-ingenieria-informatica-huelva-84088_q08.html,Título Oficial de Grado en Ingeniería Informática.,Escuela Politécnica Superior - Universidad de Huelva,https://www.gradomania.com/escuela-politecnica-superior-universidad-de-huelva-2285_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-matematicas-e-informatica-madrid-80188_q08.html,Titulo Oficial de Grado en Matemáticas e Informática.,Escuela Técnica Superior de Ingenieros Informaticos - UPM - Universidad Politécnica de Madrid,https://www.gradomania.com/escuela-tecnica-superior-de-ingenieros-informaticos-upm-universidad-politecnica-de-madrid-2556_q04.html,Presencial,Información no disponible,,240,4.0
https://www.gradomania.com/grado-en-ingenieria-informatica-murcia-84422_q08.html,Grado en Ingeniería Informática,Escuela Universitaria Politécnica - Universidad Católica San Antonio de Murcia - UCAM,https://www.gradomania.com/escuela-universitaria-politecnica-universidad-catolica-san-antonio-de-murcia-ucam-5232_q04.html,Presencial,4200 €/curso,,240,4.0
